Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

MHz;ITU;Program;Location;Reg;kW;QRB km;QTF;O;Date;RDS;PI;PS;Remarks
96,40;I;RMC - Radio Monte Carlo;Montescudo-Monte Colombo/Monte Godio;rn;15.8;33;137;;19.08.24;X;5213 ;__RMC___;;
96,40;HRV;HRT Radio Pula;Buje/Monte Cura;pa;1;180;38;;03.06.25;;C318 ;HRT-PU__;;
96,50;I;Radio Bruno;Ravenna/Via Caorle, 31 Torre B;ra;3.2;31;357;;21.09.24;;534D 544D;'R.BRUNO;;
96,50;I;Radio Studio Delta;Castel San Pietro Terme/Monte Grande;bo;125.9;65;292;;09.03.25;;53FB ;'StDelta LA_PIU'_ ASCOLTAT ___IN___ ROMAGNA_ TEL_0547 _3827147;;
96,60;I;RAI Radio2;Piobbico/Monte Nerone (RAI);pu;100;68;161;;21.09.24;;5202 5402;*Radio2_;;
96,60;I;Radio TRV - Tele Radio Veneta;Mezzane di Sotto/Via Marzotto-traliccio 1;vr;100;176;330;;15.12.24;;53EB ;_T*R*V*_;;
96,70;I;Radio Nettuno Bologna 1;Casalecchio di Reno-Tizzano/Monte Castellano;bo;40;87;295;;16.04.25;;5876 ;NETT_BO1;;
96,70;I;RTL 102.5;Ferrara/Via Aranova, 25;fe;12.6;93;326;;30.01.25;;5218 ;RTL102.5;;
96,80;I;RAI Radio1 Emilia Romagna;Rimini/Covignano (RAI);rn;3.2;27;117;;21.09.24;X;5201 ;*Radio1_;;
96,80;I;Radio Nettuno Bologna 1;Castel San Pietro Terme/Monte Grande;bo;158.5;65;292;;19.08.24;X;5876 ;NETT_BO1;;
96,90;HRV;Radio Istra;Ucka;ri;80;201;50;;08.08.25;;C386 ;R-ISTRA_;;
97,00;I;m2o;Cesena-Tessello/Monte dei Feriti;fc;25.1;9;237;;19.08.24;X;5233 ;_M_DUE_O;;
97,00;I;Radio Bellla e Monella;Valdobbiadene/Monte Barbaria;tv;200;200;355;;04.05.26;;5370 ;BELLLA_E _MONELLA;;
97,10;I;RAI Radio3;Tredozio-Cesata (RAI);fc;0.4;40;264;;01.02.25;;5203 ;*Radio3_;;
97,10;I;Radio LatteMiele (Emilia Romagna);Comacchio/Lido degli Estensi-Viale Carducci, 147-grattacielo California;fe;;59;360;;08.12.25;;5355 5755;LATMIELE;;
97,20;I;Radio Deejay;Baone/Monte Cero-consorzio;pd;100;132;340;;15.12.24;;5214 ;_DEEJAY_;;
97,20;I;RAI Radio2;Udine/Baldasseria (RAI);ud;50;226;20;;07.05.26;;5202 ;*Radio2_;;
97,30;I;Radio Capital;Monte Grimano Terme/Monte San Paolo;pu;50.1;34;153;;19.08.24;X;5219 ;_CAPITAL;;
97,30;I;Radio Piterpan;Pianoro/Monte Calvo;bo;25.1;76;295;;16.04.25;;5373 5473;PiTeRPaN [artist] [title_];;
97,40;I;RAI Radio3;Castrocaro Terme/Sadurano (RAI);fc;2.6;23;276;;26.12.24;;5203 ;*Radio3_;;
97,40;I;Radio Stella FM;Roncà/Frazione Brenton-Monte Calvarina-Bar Ciclamino;vr;31.6;170;334;;15.12.24;;5134 ;StellaFM;;
97,50;I;Radio Deejay;Igea Marina-Bellaria/Via San Giuseppe, 19;;2.5;16;89;;25.07.24;X;5214 ;_DEEJAY_;;
97,50;I;Radio Zeta;Brisighella/Monte Bicocca;ra;251.2;37;283;;25.07.24;X;5299 ;__ZETA__;;
97,50;I;Radio Deejay;Colli al Metauro/Monte della Mattera;pu;15.8;63;129;;02.02.25;;5214 ;_DEEJAY_;;
97,50;I;Radio Stella FM;Valdobbiadene/Pianezze-Strada Frascada-traliccio Veneto1;tv;316.2;199;355;;28.08.25;;5134 ;StellaFM;;
97,60;I;Radio Sound (Ferrara);Codigoro/Via Pomposa Nord, 7;fe;15.8;78;352;;03.06.25;;58A1 59A1;_SOUND__;;
97,60;I;Radio Capital;Rignano sull'Arno/Poggio di Firenze;fi;251.2;85;236;;19.01.25;;5219 ;_CAPITAL;;
97,70;I;Radio Deejay;Gemmano/Monte Gardo;rn;20;37;135;;19.08.24;X;5214 ;_DEEJAY_;;
97,70;I;Radiofreccia;Velo Veronese/Monte Stoltz;vr;158.5;186;331;;28.04.25;;5293 ;FRECCIA_;;
97,80;I;New Radio Star Marotta;Mondolfo/Monte Ciappellano-Torre piezometrica;pu;2;81;121;;21.12.25;;55DF ;NEW_STAR ACCENDE_ EMOZIONI;;
97,80;I;RDS;Ferrara/Via Aranova, 25;fe;31.6;93;326;;21.09.24;;5264 ;*_RDS_*_;// streaming;
97,80;I;Radio Kiss Kiss;Caprino Bergamasco/Valcava Prato della Costa DMT1;bg;631;282;311;;15.01.25;;5225 ;KISSKISS;;
97,90;I;m2o;Torriana-Borgellino;;12.6;21;148;;03.03.25;;5233 ;_M_DUE_O;;
97,90;I;RDS;Castel San Pietro Terme/Monte Grande;bo;25.1;65;292;;19.08.24;X;5264 ;*_RDS_*_;;
97,90;HRV;Radio Istra;Buje/Krasica-Stancia;pa;5;179;39;;28.08.25;;C386 ;R-ISTRA_;;
98,00;I;Love FM (Veneto);Baone/Monte Cero-consorzio;pd;80;132;340;;15.12.24;;52E5 ;LOVE_FM_;;
98,00;HRV;Radio Istra;Pula/Vidikovac 1;pa;0.5;150;57;;23.02.26;;C386 ;R-ISTRA_;;
98,10;I;Radio Italia 5;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;6.3;12;230;;19.08.24;X;5A61 ;ITALIA5;;
98,10;HRV;HRT-HR 2;elevac;zd;80;282;86;;19.04.26;;C202 ;HRT-HR_2;;
98,20;I;Radio Subasio;Pesaro/Frazione Novilara-Strada Leccia;pu;1;62;120;;26.12.24;;53FD 52FD;SUBASIO_;;
98,20;I;Radio Capital;Romano d'Ezzelino/Località Costalunga-Via Alberico da Romano, 8;vi;40;190;348;;09.08.25;;5219 ;_CAPITAL;;
98,30;I;Radiofreccia;Fumane/Monte Solane;vr;40;191;326;;15.12.24;;5293 ;FRECCIA_;;
98,30;I;Radio Gioconda FVG (Radio Azzurra) Friuli-Venezia Giulia;Maniago/Monte San Lorenzo;pn;20;231;9;;16.01.26;;53C5 ;GIOCONDA RadioFVG;;
98,40;I;Radio Sportiva;Montescudo-Monte Colombo/Monte Godio;rn;10;33;137;;21.12.25;;5244 ;SPORTIVA;;
98,40;I;RDS;Brisighella/Via Rontana,40;ra;25.1;41;284;;19.08.24;X;5264 ;*_RDS_*_;;
98,40;I;Radiofreccia;Fregona/Via Cansiglio, 72-Trattoria Grillo;tv;50.1;208;3;;09.08.25;;5293 ;FRECCIA_;;
98,50;I;RDS;Ravenna/Località Camerlona-Via Bagarina;ra;4;34;348;;14.01.25;;5264 ;*_RDS_*_;;
98,50;I;R101;Baone/Monte Cero-consorzio;pd;50.1;132;340;;16.04.25;;5215 ;__R101__;;
98,50;I;RAI Radio3;San Zeno di Montagna/Dosso Croce (RAI);vr;15.8;204;325;;15.12.24;;5203 ;*Radio3_;;
98,50;I;Radio Gioconda FVG (Radio Azzurra) Friuli-Venezia Giulia;Attimis/Località Porzus 1;ud;50.1;243;20;;19.01.26;;53C5 ;GIOCONDA;;
98,60;;UNID Radio 2;;;;;;;30.01.25;;;;;
98,60;I;Radiofreccia;Ferrara/Via Aranova, 25;fe;25.2;93;326;;05.02.25;;5293 ;FRECCIA_;;
98,60;I;m2o;Buti/Monte Serra (M);pi;12.6;142;253;;01.02.25;;5233 ;_M_DUE_O;;
98,60;I;Radio Radicale;Porto Mantovano/Strada Spinosa;mn;25.1;163;316;;03.02.25;;5210 ;RADIO___ RADICALE;;
98,70;I;Virgin Radio;Bertinoro/Monte Maggio;fc;63.1;9;272;;18.01.25;;5241 ;_VIRGIN_;Molto debole, non può essere 63 kw!;
98,70;I;RAI Radio3;Piobbico/Monte Nerone (RAI);pu;100;68;161;;21.09.24;;5203 ;*Radio3_;;
98,70;I;RTL 102.5;Bologna/Monte Donato-Via di Monte Donato, 17;bo;32;79;296;;31.03.25;;5218 ;RTL102.5;;
98,80;I;RMC - Radio Monte Carlo;Caneva/Col Gaiardin-Malga Coda di Bosco;pn;63.1;208;4;;03.06.25;;5213 ;__RMC___;;
98,80;SVN;Val 202;Golo Brdo;go;0.2;235;25;;25.02.26;;9202 ;VAL_202_;;
98,90;I;Radio Zeta;Sassofeltrio/Monte San Paolo-nord;rn;;33;152;;21.12.25;;5299 ;__ZETA__;;
98,90;I;Virgin Radio;Castel San Pietro Terme/Monte Grande;bo;50.1;65;292;;19.08.24;X;5241 ;_VIRGIN_;;
98,90;SVN;Val 202;Krvavec;lj;100;299;36;;28.08.25;;9202 ;VAL_202_;;
99,00;I;Radio Linea Numero Uno;Pesaro/Frazione Novilara-Strada Leccia;pu;4;62;120;;21.12.25;;5388 ;#_LINEA_;;
99,00;I;Radio TRV - Tele Radio Veneta;Roncà/Frazione Brenton-Monte Calvarina-Sotto bar Ciclamino-Traliccio 1;vr;50.1;170;334;;15.12.24;;53EB ;_T*R*V*_;;
99,00;I;Radiofreccia;Caneva/Località Gaiardin, 9;pn;158.5;208;4;;15.12.24;;5293 ;_FRECCIA;;
99,10;I;Radio Zeta;Verucchio/Monte Ventoso-sud;rn;79.4;25;143;;21.09.24;;5299 ;ZETA____;;
99,10;I;Radio Bruno;Ancona/Forte Montagnolo-Via del Golfo;an;10;116;121;;20.05.26;;534D 5E4D;'R.BRUNO;;
99,10;I;Radio Wow;Faedis/Pedrosa-Prati della Chiesa C;ud;63.1;242;22;;14.05.25;;5359 5759;#__WoW__;;
99,20;I;Radio Centrale;Civitella di Romagna/Monte Grosso;fc;0.32;28;242;;19.04.26;;5842 ;CENTRALE;;
99,20;I;Radio Birikina;Castel San Pietro Terme/Monte Grande;bo;125.9;65;292;;19.08.24;X;536E ;BIRIKINA;;
99,30;I;Radio Piterpan;Schio/Monte Cerbaro;vi;158.5;194;338;;18.01.25;;5373 5473;PITERPAN;;
99,30;HRV;HRT-HR 1;Ucka;ri;80;201;50;;26.12.24;;C201 ;HRT-HR_1;;
99,40;I;Radio Bruno;Montescudo-Monte Colombo/Monte Godio;rn;10;33;137;;19.08.24;X;534D 5D4D;'R.BRUNO;;
99,40;I;Radio Capital;Bologna/Via dell'Osservanza, 267;bo;6.3;83;298;;31.03.25;;5219 ;_CAPITAL;;
99,40;I;Radio Birikina;Velo Veronese/Monte Stoltz;vr;63.1;186;331;;16.04.25;;536F 536E;BIRIKINA;;
99,50;I;Radio Kiss Kiss;Romano d'Ezzelino/Località Costalunga-Monte Lagusella (A);vi;125.9;190;348;;08.12.25;;5225 ;KISSKISS;;
99,60;I;RAI Radio3;Bertinoro/Monte Maggio (RAI);fc;25;9;272;;09.08.24;X;5203 ;*Radio3_;;
99,70;I;RAI Radio3;Pesaro/Frazione Santa Veneranda-Strada del Pignocco (RAI);pu;2.6;59;118;;20.03.25;;5203 ;*Radio3_;;
99,70;I;Radio Maria;Ferrara/Via Aranova, 25;fe;0.5;93;326;;26.04.26;;51CC ;R.MARIA_;;
99,70;HRV;Radio Labin;Skitaca/Orlic;pa;2;178;57;;25.02.26;;C44A ;*Labin*_;;
99,70;I;Radio Onda d'Urto;Villanuova sul Clisi/Località Selvapiana (B);bs;;217;320;;16.04.25;;53BA ;RADIO___ ONDA____ D'URTO__ TEL.____ 03045670;;
99,80;I;RDS;Bassano del Grappa/Contrada Pizzati, 43/A;vi;501.2;190;346;;15.12.24;;5264 ;*_RDS_*_;;
99,80;I;RAI Radio3;Udine/Baldasseria (RAI);ud;50;226;20;;16.01.26;;5203 ;*Radio3_;;
99,90;I;Radio Linea Numero Uno;Montescudo-Monte Colombo/Monte Godio;rn;12.6;33;137;;19.08.24;X;5388 ;#_LINEA_;;
99,90;I;Radio Centrale;Imola/Monte Frassineto (Chiesa Pediano);bo;6.3;47;293;;26.12.24;;5842 ;CENTRALE;;
100,00;I;Radio Radicale;Pianoro/Monte Calvo;bo;12.6;76;295;;19.01.25;;5210 ;RADIO_*_ RADICALE;;
100,00;I;Radio 80;Roncà/Frazione Brenton-Monte Calvarina-Sotto bar Ciclamino-Traliccio 2;vr;40;170;334;;15.12.24;;535A 5A5A;'RADIO80;;
100,00;I;RDS;Valdobbiadene/Pianezze-Via Endimione;tv;80;199;355;;29.01.25;;5264 ;*_RDS_*_;;
100,10;I;Radio Bruno;Castrocaro Terme e Terra del Sole/Sadurano;fc;1.6;23;275;;02.04.25;;534D 544D;'R.BRUNO;;
100,10;I;Radio LatteMiele (Emilia Romagna);Gemmano/Monte Gardo;rn;3.2;37;135;;19.08.24;X;5355 5755;LATMIELE;;
100,10;I;Radio BCS;Chioggia/Frazione Sottomarina-Viale Padova, 18;ve;40;119;2;;08.12.25;;55BC ;*R.BCS*_;;
100,20;I;Radio Birikina;Ravenna/Via Cavina, 5;ra;2;32;351;;21.09.24;X;536E ;BIRIKINA;Adesso Radio Birikina  ex R. International;
100,20;I;Radio Maria;Trieste/Monte Belvedere est;ts;4;210;35;;28.08.25;;51CC ;R.MARIA_;;
100,20;I;m2o;Attimis/Località Porzus 1;ud;63.1;243;20;;16.01.26;;5233 ;M_DUE_O_;;
100,30;I;Radio 24;Gemmano/Monte Gardo;rn;1;37;135;;19.08.24;X;5245 ;RADIO_24;;
100,30;I;Radio Company;Baone/Monte Cero-consorzio;pd;63.1;132;340;;15.12.24;;5350 5850;'COMPANY;;
100,30;I;RAI GR Parlamento;Villanuova sul Clisi/Località Selvapiana (RAI);bs;125.9;217;320;;16.04.25;;5206 ;RAI_GRPR;;
100,40;I;inBlu;Faedis/Pedrosa-Prati della Chiesa A;ud;10;242;22;;28.04.26;;5000 ;*inBlu*_;;
100,50;I;RTL 102.5;Cesena/Frazione Borello-Monte Cavallo-Via Luzzena, 5600 (E);fc;31.6;12;230;;19.08.24;X;5218 ;RTL102.5;;
100,50;HRV;HRT-HR 3;Ucka;ri;5;201;50;;16.01.26;;C203 ;HRT-HR_3;;
100,60;I;RTL 102.5;Tavullia/Monteluro;pu;125.9;49;121;;15.01.25;;5218 ;RTL102.5;;
100,70;I;Radio Italia SoloMusicaItaliana;Castel San Pietro Terme/Monte Grande;bo;50.1;65;292;;23.04.25;;5220 ;R_ITALIA;;
100,80;I;Radio Sabbia;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;100;12;230;;19.08.24;X;584A 5A4A;*_SABBIA;;
100,90;I;Radio Maria;Baone/Monte Cero-consorzio;pd;31.6;132;340;;15.12.24;;51CC ;R.MARIA_;;
100,90;I;RMC - Radio Monte Carlo;Attimis/Località Porzus 1;ud;25.1;243;20;;28.04.26;;5213 ;__RMC___;;
101,00;I;Radio Gamma (Romagna);Gemmano/Monte Gardo;rn;25.1;37;135;;15.12.24;;5843 5943;R_GAMMA_;;
101,00;I;Radio Bruno;Imola/Via Pediano;bo;16;47;296;;19.08.24;X;534D 5F4D;'R.BRUNO;;
101,10;I;R101;Ravenna/Via Caorle, 31 Torre B;ra;15.8;31;357;;21.09.24;;5215 ;__R101__;;
101,10;I;Radio Fano;Fano/Eremo di Monte Giove-2;pu;20;68;121;;15.12.24;;55A9 ;*R.FANO*;;
101,10;I;RMC - Radio Monte Carlo;Verona/Torricelle-Tennis;vr;15.8;176;327;;03.02.25;;5213 ;__RMC___;;
101,10;I;Radio SorRriso;Attimis/Località Porzus 1;ud;50.1;243;20;;28.04.26;;5372 ;SORRRISO [title_] [artist];;
101,20;I;Radio Gamma (Romagna);Verucchio/Monte Ventoso-nord;rn;10;25;143;;26.11.25;;5843 5943;R_GAMMA_;;
101,20;I;R101;Torre de' Busi/Valcava passo (Sogepotel);bg;400;282;311;;15.12.24;;5215 ;__R101__;;
101,30;I;Radio Piterpan;Brisighella/Angugnano-Via Rontana 50;ra;100;42;283;;19.08.24;X;5373 5473;PITERPAN [artist] [title_];;
101,30;I;Radio 24;Roncà/Frazione Brenton-Monte Calvarina-Bar Ciclamino;vr;100;170;334;;15.05.25;;5245 ;RADIO_24;;
101,30;HRV;HRT Radio Pula;Ucka;ri;80;201;50;;29.01.25;;C318 ;HRT-PU__;;
101,30;I;Radio Punto Zero (Tre Venezie);Faedis/Località Valle-Pedrosa-Costalunga;ud;200;242;21;;16.01.26;;5365 ;R.P.ZERO;;
101,40;;UNID Radio Sabbia;;;;;;;17.07.25;;;;pubblicità diversa da 101,5. Poi invece uguale;
101,40;I;Radio Maria;Brescia/Monte Maddalena-Arrivo funivia;bs;130;220;316;;30.12.24;;51CC ;R.MARIA_;;
101,50;I;Radio Sabbia;Gemmano/Monte Gardo;rn;100;37;135;;19.08.24;X;584A 594A;*_SABBIA;;
101,60;I;Radio Kiss Kiss;Ravenna/Via Serafino Ferruzzi, 5-Ex Via XIII Giugno;ra;2;31;353;;21.09.24;;5225 ;KISSKISS;;
101,70;I;RDS;Baone/Monte Cero-consorzio;pd;39.8;132;340;;16.12.24;;5264 ;*_RDS_*_;;
101,70;HRV;Radio Eurostar;Buje/Krasica-Kavruja;pa;7;180;39;;25.02.26;;C463 5000;EUROSTAR;;
101,80;I;Radio 24;Cesena/Lugarara di Cesena-Via Lugarara;fc;31.6;8;239;;19.08.24;X;5245 ;RADIO_24;;
101,80;I;Radio Piterpan;Caneva/Col Gaiardin-Borgo Santin;pn;79.4;208;4;;09.03.26;;5373 53AB;PITERPAN;;
101,90;I;Radio Maria;Fumane/Monte Pastello-1;vr;63.1;194;326;;15.12.24;;51CC ;R.MARIA_;;
102,00;I;Radio Italia SoloMusicaItaliana;Montescudo/Frazione Albereto-Via Piana;rn;100;33;137;;19.08.24;X;5220 ;R_ITALIA;;
102,20;I;Radio Centrale;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;40;12;230;;19.08.24;X;5842 ;CENTRALE;;
102,30;I;RTL 102.5;Lusiana/Monte Corno-Vecchio albergo Ristoro;vi;125.9;192;344;;09.08.25;;5218 ;RTL102.5;;
102,40;I;RTL 102.5;Gemmano/Monte Gardo;rn;79.4;37;135;;19.08.24;X;5218 ;RTL102.5;;
102,50;I;RTL 102.5;Talamello/Monte Pincio;rn;2.5;26;177;;21.09.24;;5218 ;RTL102.5;;
102,60;HRV;HRT-HR 2;Limski kanal/Bubani-Vrh Sv. Martina (OiV);pa;0.1;161;47;;08.03.26;;C202 ;HRT-HR_2;;
102,70;SMR;Radio San Marino RTV;San Marino/Viale J.F.Kennedy, 13-tetto sede RTV SM;sma;10;29;145;;19.08.24;X;310A ;S.MARINO;;
102,80;I;Radio Easy Rock;Baone/Monte Cero-consorzio;pd;50.1;132;340;;16.12.24;;5361 5061;EASYROCK;;
102,80;I;Radio Zeta;Caprino Bergamasco/Valcava Prato della Costa MSP1;bg;631;282;311;;16.04.25;;5299 ;ZETA____;;
103,00;I;Radio Gamma (Romagna);Roncofreddo/Diolaguardia;fc;25.1;8;190;;19.08.24;X;5843 5543;R_GAMMA_;;
103,10;I;Radio Città Fujiko;Bologna/Colle dell'Osservanza-Via Osservanza, 35/2;bo;7.9;82;298;;16.04.25;;544B ;Citta'__ Fujiko__ Radio___ #RCF_103;;
103,10;SVN;Radio Capodistria;Nanos;po;100;231;37;;28.08.25;;9411 ;CAPODIST;;
103,20;SMR;San Marino Classic (S.Marino RTV);San Marino/Viale J.F.Kennedy, 13-tetto sede RTV SM;sma;2;29;145;;19.08.24;X;31BC ;S.MARINO _CLASSIC;;
103,30;I;RAI IsoRadio;Bertinoro/Monte Maggio (RAI);fc;100;9;272;;19.08.24;X;5209 ;ISORADIO RAI103.3;;
103,40;I;RAI IsoRadio;Rimini/Covignano (RAI);rn;1;27;117;;21.12.25;;5209 ;ISORADIO;;
103,40;I;RDS;Caneva/Località Gaiardin, 6;pn;79.4;208;4;;15.12.24;;5264 ;*_RDS_*_;;
103,40;HRV;HRT-HR 2;Pag/Krsina;zd;3;228;80;;20.04.26;;C202 ;HRT-HR_2;;
103,50;I;RAI GR Parlamento;Ferrara/Via Aranova (RAI);fe;12.6;93;326;;11.04.25;;5206 ;RAI-GRPR;;
103,50;I;Radio Bellla e Monella;Lusiana/Monte Corno-Vecchio albergo Ristoro;vi;100;192;344;;26.12.24;;5370 5670;BELLLA_E MONELLA_;;
103,50;I;Radio Number One;Villanuova sul Clisi/Località Selvapiana (A);bs;501.2;217;320;;15.12.24;;5238 5138;*Number1;;
103,50;I;RDS;San Floriano del Collio/Via Oslavia-campi da tennis;go;5;231;27;;05.03.26;;5264 ;*_RDS_*_;;
103,60;I;Radio Maria;Verucchio/Monte Ventoso-sud;rn;25.1;25;143;;19.08.24;X;51CC ;R.MARIA_;;
103,70;I;R101;Castel San Pietro Terme/Monte Grande;bo;32;65;292;;19.08.24;X;5215 ;__R101__;;
103,70;I;Radiofreccia;Fano/Località Metaurilia-Monte Schiantello;pu;20;75;120;;23.03.26;;5293 ;FRECCIA_;;
103,70;HRV;HRT-HR 2;Buje/Monte Cura;pa;1;180;38;;28.08.25;;C202 ;HRT-HR_2;;
103,70;I;Radio Spazio 103-inBlu;Tarcento/Località Useunt-Monte Bernadia;ud;7.9;246;18;;27.04.26;;500E ;R.SPAZIO;;
103,80;;UNID Radio Birikina;;;;;;;23.04.25;;;;;
103,80;I;Radio Radicale;Rimini/San Fortunato;rn;10;27;117;;21.09.24;;5210 ;RADIO_*_ RADICALE;;
103,90;I;Radio Padova;Teolo/Monte Madonna;pd;1600;143;341;;14.01.25;;5360 5460;R.PADOVA;;
103,90;I;Rai Radio Trst A;Trieste/Monte Belvedere (RAI);ts;25;210;35;;08.08.25;;5404 ;_Radio__ TRST_A__;;
104,00;I;Radio Radicale;Cesena-Tessello/Monte dei Feriti;fc;20;9;237;;19.08.24;X;5210 ;RADIO_*_ RADICALE;;
104,00;I;Radiofreccia;Pesaro/Frazione Novilara-Strada Leccia;pu;20;62;120;;23.03.26;;5293 ;_FRECCIA;;
104,10;SVN;Radio Koper;Golo Brdo;go;0.2;235;25;;08.03.26;;9421 ;RADIO_KP;;
104,10;I;Radio Marilu;Faedis/Località Valle-Pedrosa-Costalunga;ud;63.1;242;21;;08.03.26;;53A0 ;RADIO___ MARILU'_;;
104,20;I;Radio Birikina;Cesena-Tessello/Monte dei Feriti;fc;25.1;9;237;;19.08.24;X;536E 54C8;BIRIKINA;;
104,30;SVN;Radio Koper;Beli Kriz;kp;5;186;34;;09.08.25;;9421 ;RADIO_KP;;
104,40;I;PaneBurroMarmellata;Brisighella/Via Rontana, 40;ra;13;41;284;;26.12.24;;547A ;PANEBURR;;
104,40;I;Radio 105;Valdobbiadene/Pianezze-Via Endimione;tv;50.1;199;355;;08.03.26;;5211 ;__105___;;
104,50;I;Virgin Radio;Sassofeltrio/Monte San Paolo-nord;rn;31.6;33;152;;19.08.24;X;5241 ;_VIRGIN_;;
104,50;I;RTL 102.5;Villanuova sul Clisi/Località Selvapiana (A);bs;501.2;217;320;;16.04.25;;5218 ;RTL102.5;;
104,50;SVN;Radio Ognjisce;Krvavec;lj;100;299;36;;28.08.25;;932F ;OGNJISCE;;
104,60;I;RVS - Radio Voce della Speranza (Forli);Forli/Vecchiazzano-Via Tomba 62;fc;;22;280;;26.12.24;;52F1 50F1;_*RVS*__;;
104,60;I;Radio Zeta;Imola/Via Mezzocolle, 8;bo;7.9;52;293;;03.04.25;;5299 ;ZETA____;;
104,60;I;Delta Radio;Porto Tolle/Via Rovigo, 11 - Torre Piezometrica;ro;20;90;4;;21.01.26;;5A69 ;DELTA_R.;;
104,60;I;Radio Deejay;Ronchi dei Legionari/Frazione Vermegliano/Monte Sei Busi;go;6.3;214;27;;08.03.26;;5214 ;_DEEJAY_;;
104,70;I;Virgin Radio;Montefelcino/Fonte Corniale;pu;32;61;132;;19.08.24;X;5241 ;_VIRGIN_;;
104,70;I;Radio LatteMiele Veneto (Radio Nord Est);Mezzane di Sotto/Via Marzotto-traliccio 2;vr;25.1;176;329;;15.12.24;;5355 5D55;LATMIELE;;
104,70;I;Radio Radicale;Valdobbiadene/Monte Barbaria-Località Cima Scarpezza;tv;200;201;355;;03.02.25;;5210 ;RADIO*__ RADICALE;;
104,70;HRV;HRT Radio Rijeka;Ucka;ri;80;201;50;;01.01.25;;C319 ;HRT-RI__;;
104,80;I;Radio Italia SoloMusicaItaliana;Maniago/Monte San Lorenzo;pn;100;231;9;;09.04.25;;5220 ;R_ITALIA;;
104,80;I;Radio 24;Caprino Bergamasco/Valcava Prato della Costa DMT2;bg;640;282;311;;15.12.24;;5245 ;RADIO_24;;
104,90;I;Radio Sound (Ferrara);Modigliana/Località Pracchio (Via Pracchio);fc;50.1;37;277;;19.08.24;X;58A1 5BA1;_SOUND__;;
104,90;I;Radio 105;Ancona/Forte Montagnolo-Via del Golfo;an;25.1;116;121;;20.05.26;;5211 ;__105___;;
105,00;I;RAI GR Parlamento;Montefiore Conca/Monte Auro (Via Panoramica);rn;13;40;134;;15.12.24;;5206 ;RAI-GRPR;;
105,00;I;Radio Marilu;Bassano del Grappa/Frazione Rubbio-Via Monte Caina, 22;vi;631;190;346;;08.12.25;;538A ;MARILU'_ [title_] [artist];;
105,00;I;Radio Capital;Trieste/Monte Belvedere;ts;0.5;210;35;;28.08.25;;5219 ;_CAPITAL;;
105,10;I;R101;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;7.9;12;230;;19.08.24;X;5215 ;__R101__;;
105,20;I;Radio Radicale;Fumane/Monte Pastello-1;vr;31.6;194;326;;15.12.24;;5210 ;RADIO_*_ RADICALE;;
105,20;I;Radio Easy Rock;Trieste/Monte Belvedere est;ts;1.6;210;35;;28.08.25;;5361 5061;RADIO___ EASY____ ROCK____;;
105,20;I;Radio Company;Attimis/Località Porzus 1;ud;199.5;243;20;;08.03.26;;5350 5D50;'COMPANY;;
105,30;I;Radio Italia SoloMusicaItaliana;Meldola/Frazione Valdinoce-Il Botteghino;fc;31.6;14;230;;19.08.24;X;5220 ;R_ITALIA;;
105,30;I;AFN Vicenza-The Eagle;Lusiana/Monte Corno-Vecchio albergo Ristoro;vi;100;192;344;;19.08.24;;9978 ;AFNEAGLE;;
105,30;HRV;HRT-HR 2;Ucka;ri;80;201;50;;21.01.26;;C202 ;HRT-HR_2;;
105,40;I;RMC - Radio Monte Carlo;Comacchio/Lido degli Estensi-Viale Carducci, 147-grattacielo California;fe;5;59;360;;08.03.26;;5213 ;__RMC___;;
105,50;I;Radiofreccia;Monte Grimano Terme/Monte San Paolo;pu;10;34;153;;19.08.24;X;5293 ;'FRECCIA;;
105,50;I;Radio Radicale;Aviano/Castaldia-Piancavallo (Col del Lovo);pn;63.1;218;6;;08.08.25;;5210 ;RADIO*__ RADICALE;;
105,60;I;Radio Subasio;Sogliano al Rubicone/Montepetra;fc;;24;191;;01.02.25;;53FD 52FD;SUBASIO_;;
105,60;I;Radio Bruno;Brisighella/Pietramora-Cimitero;ra;79.4;31;281;;11.04.26;;534D 5F4D;'R.BRUNO;;
105,60;I;RAI Radio1 Veneto;Fumane/Monte Pastello (RAI);vr;12.6;194;326;;02.02.25;;5201 5501;*Radio1_;;
105,70;I;Radio Kiss Kiss;Borghi/San Giovanni in Galilea;fc;7.9;18;151;;21.09.24;;5225 ;KISSKISS;;
105,70;SVN;ARS;Nanos;po;100;231;37;;09.04.25;;9203 ;__ARS___;;
105,80;I;Radio Radicale;Ravenna/Località Camerlona-Via Bagarina;ra;7.9;34;348;;15.12.24;;5210 ;RADIO*__ RADICALE;;
105,80;I;Radio Subasio;Verghereto/Monte Fumaiolo;fc;;42;200;;21.09.24;;53FD 52FD;SUBASIO_;id;
105,80;I;Radio Capital;Bassano del Grappa/Contrada Pizzati, 43/A;vi;158.5;190;346;;17.01.26;;5219 ;_CAPITAL;;
