Bandscan
Mario Manuzzi, I-47521 Cesena
12e14/44n08
 

MHz;ITU;Program;Location;Reg;kW;QRB km;QTF;O;Date;RDS;PI;PS;Remarks
88,72;I;R101;Villanuova sul Clisi/Località Selvapiana (A);bs;20;217;320;;19.08.24;;5215 ;__R101__;;
88,80;I;Radio Deejay;Cesena/Frazione Borello-Via Luzzena, 5600-Monte Cavallo (C);fc;5;12;230;;19.08.24;X;5214 ;_DEEJAY_;;
89,00;I;Radio Kiss Kiss;Sassofeltrio/Monte San Paolo-nord;rn;25.1;33;152;;11.01.25;;5225 ;KISSKISS;;
89,00;I;RAI Radio2;Vo/Monte Venda (RAI);pd;160;138;341;;21.09.24;;5202 ;*Radio2_;;
89,10;I;Radio Stella (Emilia);Castel San Pietro Terme/Monte Grande;bo;50.1;65;292;;19.08.24;X;584E 5A4E;R.STELLA;;
89,20;I;Radio Esmeralda;Fano/Eremo di Monte Giove-1;pu;10;68;121;;29.01.25;;5077 ;ESMERALD;;
89,30;I;Radio Studio Delta;Montescudo-Monte Colombo/Monte Godio;rn;50.1;33;137;;19.08.24;X;53FB ;'StDelta;;
89,30;I;Radio Kiss Kiss;Brisighella/Monte Fagiola, Via Paglia 21;ra;6.3;37;279;;18.01.25;;5225 ;KISSKISS;;
89,30;I;Radio Deejay;Valdobbiadene/Monte Barbaria;tv;50.1;200;355;;23.09.24;;5214 ;_DEEJAY_;;
89,40;I;Radio 24;Attimis/Località Porzus 2;ud;31.6;243;21;;03.06.25;;5245 ;RADIO_24;;
89,50;I;Radio Kiss Kiss;Pesaro/Frazione Novilara-Strada Leccia;pu;6.3;62;120;;15.12.24;;5225 ;KISSKISS;;
89,50;I;RAI Radio1 Emilia Romagna;Bologna/Colle Barbiano (RAI);bo;63.1;80;297;;19.08.24;X;5201 5401;*Radio1_;;
89,60;HRV;Radio Centar - Studio Porec;Porec/Funtana-Punta Grosa (Debeli Rt);pa;7;158;41;;08.03.26;;C439 ;Centar__ Studio__ Porec___ Tel.052-451-234_ DD.MM.YY _HH:MM__ ******** Artist:_ Title:__ Radio___;;
89,60;I;RAI Radio1 Veneto;Romano d'Ezzelino/Località Costalunga-Monte Lagusella;vi;316.2;190;348;;30.12.24;;5201 5501;*Radio1_;;
89,70;I;RAI GR Parlamento;Bertinoro/Monte Maggio (RAI);fc;20;9;272;;19.08.24;X;5206 ;RAI-GRPR;;
89,80;I;Radioblu (Fabriano);Pesaro/Frazione Novilara-Strada Leccia;pu;10;62;120;;23.09.24;;531B ;RADIOBLU;;
89,90;I;RAI Radio3;Vo/Monte Venda (RAI);pd;160;138;341;;18.09.24;;5203 ;*Radio3_ *Radio3*;;
